Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by MTW15P Method of Travel to Work (15 travel modes)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"MTW15P Method of Travel to Work (15 travel modes)","Train","Bus","Ferry","Tram","Taxi","Car, as driver","Car, as passenger","Truck","Motorbike/scooter","Bicycle","Walked only","Other Mode","Worked at home","Did not go to work","Not stated","Not applicable","Total",
"Oatlands - Dundas Valley",1072,338,5,3,10,4980,344,59,50,24,92,38,370,576,59,6416,14426,
"Chester Hill - Sefton",941,122,0,0,22,4064,382,82,12,16,102,44,144,372,85,8114,14505,
"Fairfield - East",782,57,0,0,7,2998,323,97,10,11,77,25,105,248,110,7415,12269,
"Granville - Clyde",2253,166,0,0,24,4124,458,103,31,29,200,49,179,532,126,8381,16663,
"Greystanes - Pemulwuy",1280,370,4,9,19,7970,562,134,44,24,107,58,387,909,104,8622,20594,
"Guildford - South Granville",967,140,0,4,19,3859,396,134,5,5,78,38,196,403,134,9432,15821,
"Guildford West - Merrylands West",1207,231,5,6,28,4913,412,102,21,16,93,39,203,493,121,8321,16203,
"Merrylands - Holroyd",1983,426,4,0,45,6625,642,137,30,31,211,84,299,751,159,11003,22441,
"Smithfield Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,
"Yennora Industrial",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,14,
"North Parramatta",2250,730,3,0,34,4840,389,51,53,88,911,45,276,737,91,8026,18517,
"North Rocks",197,433,0,0,3,2332,126,30,26,9,55,16,200,305,13,2502,6254,
"Northmead",2269,852,0,0,24,4751,263,50,36,23,484,37,271,709,69,6221,16077,
"Parramatta - Rosehill",5521,931,0,13,44,4954,484,51,44,41,1113,63,226,790,125,9812,24207,
"Toongabbie - Constitution Hill",2038,361,4,0,20,5667,432,88,56,43,142,40,283,733,86,7761,17761,
"Winston Hills",223,575,0,4,12,3392,183,44,33,17,53,22,235,463,31,3109,8398,
"Pendle Hill - Girraween",1511,82,0,0,15,2867,206,29,13,11,96,20,149,308,60,4604,9977,
"Wentworthville - Westmead",2225,294,0,0,22,3014,293,50,17,21,236,38,200,402,72,5455,12335,
"Epping - North Epping",4154,399,5,8,18,5928,412,39,71,58,249,42,632,980,78,9290,22357,
