Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by SA4 (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"SA4 (POW)","Sydney - Baulkham Hills and Hawkesbury","Sydney - Blacktown","Sydney - City and Inner South","Sydney - Eastern Suburbs","Sydney - Inner South West","Sydney - Inner West","Sydney - North Sydney and Hornsby","Sydney - Northern Beaches","Sydney - Outer South West","Sydney - Outer West and Blue Mountains","Sydney - Parramatta","Sydney - Ryde","Sydney - South West","Sydney - Sutherland","Total",
"Drummoyne - Rodd Point",106,110,3514,244,228,2602,825,77,16,50,613,625,113,22,9148,
"Five Dock - Abbotsford",94,154,3580,226,313,3072,818,73,39,57,726,567,169,44,9930,
"Balmain",63,53,3996,240,117,2034,748,51,17,31,293,385,41,20,8086,
"Leichhardt - Annandale",93,111,7057,585,291,3092,1157,123,49,69,622,510,135,46,13944,
"Lilyfield - Rozelle",71,56,3656,245,111,1796,692,53,23,21,296,349,49,23,7443,
"Ashfield",73,109,5054,511,565,2859,1030,186,47,64,888,434,175,79,12078,
"Burwood - Croydon",69,122,3985,346,600,3104,785,74,49,77,986,426,201,51,10894,
"Canterbury (North) - Ashbury",25,46,2190,201,491,1182,307,32,25,21,292,139,74,39,5064,
"Croydon Park - Enfield",68,93,2308,219,794,2577,428,50,38,49,663,301,182,50,7816,
"Dulwich Hill - Lewisham",35,63,4627,410,464,1621,596,60,45,39,457,243,148,60,8868,
"Haberfield - Summer Hill",52,74,3079,272,228,1868,474,35,12,36,344,231,88,32,6835,
"Homebush",89,135,2550,252,431,1823,642,98,40,57,1054,378,193,45,7792,
"Strathfield",112,188,3791,354,894,3107,906,116,84,115,1402,546,404,91,12106,
"Strathfield South",10,34,458,36,194,465,112,8,10,12,185,80,44,9,1661,
"Chatswood (East) - Artarmon",108,56,4583,251,147,279,5877,492,8,21,387,945,47,21,13216,
"Chatswood (West) - Lane Cove North",139,67,3549,253,106,335,4692,421,10,28,354,944,42,15,10963,
"Lane Cove - Greenwich",204,121,4568,297,151,427,5622,271,11,39,472,993,67,28,13268,
"St Leonards - Naremburn",50,31,2401,146,56,104,2561,157,4,17,178,406,28,17,6164,
"Willoughby - Castle Cove - Northbridge",71,61,4188,303,89,230,5361,412,14,13,231,483,38,16,11517,
"Asquith - Mount Colah",307,79,1538,76,58,141,5179,393,5,32,407,709,34,11,8984,
"Berowra - Brooklyn - Cowan",182,71,908,34,37,86,3381,236,7,14,248,396,27,9,5642,
"Normanhurst - Thornleigh - Westleigh",369,134,1694,80,64,229,4057,228,14,37,555,1059,74,13,8604,
"Hornsby - East",173,44,1317,87,36,146,3054,242,0,17,276,536,26,5,5948,
"Hornsby - West",156,60,999,66,32,83,2572,184,6,18,247,401,21,7,4839,
"Waitara - Wahroonga (West)",110,32,1160,39,44,100,2043,183,3,17,182,373,23,3,4319,
"Gordon - Killara",125,82,2871,181,92,211,4304,393,10,32,329,700,46,19,9395,
"Lindfield - Roseville",79,84,3466,201,92,238,4898,447,5,22,291,635,45,10,10508,
"Pymble",131,63,2027,128,80,239,3349,328,5,35,324,768,49,16,7535,
"St Ives",131,87,2265,165,111,172,4461,689,11,20,329,703,46,11,9194,
"Turramurra",136,84,2120,87,67,180,4121,339,10,19,316,691,32,9,8202,
