Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by OCCP - 1 Digit Level"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Turramurra",1850,3293,460,670,1134,676,108,261,103,43,6917,15516,
"Wahroonga (East) - Warrawee",1657,3314,439,674,1178,602,99,247,110,36,6047,14410,
"Cremorne - Cammeray",2457,4419,588,676,1411,778,127,225,121,52,5187,16027,
"Crows Nest - Waverton",2170,5102,596,656,1417,699,89,222,130,57,4540,15677,
"Mosman",3365,5530,625,1015,1687,1086,101,296,240,61,9463,23463,
"Neutral Bay - Kirribilli",2238,4607,552,668,1346,711,100,227,128,53,5291,15931,
"North Sydney - Lavender Bay",1479,2921,282,330,765,384,33,103,92,32,3220,9640,
"Balgowlah - Clontarf - Seaforth",2330,3459,668,756,1272,839,139,281,127,49,5477,15392,
"Manly - Fairlight",2692,4817,824,1004,1256,939,167,351,143,75,6338,18618,
"Avalon - Palm Beach",1177,1784,765,540,769,554,93,298,95,38,3983,10104,
"Bayview - Elanora Heights",1039,1394,606,438,697,413,142,216,58,23,3780,8793,
"Newport - Bilgola",1334,1929,847,675,900,668,132,309,88,33,3694,10599,
"Warriewood - Mona Vale",2078,2939,1634,1216,1801,1204,419,642,128,83,7043,19194,
"Beacon Hill - Narraweena",1026,1559,917,672,998,636,271,559,64,44,4347,11093,
"Cromer",588,869,531,363,554,355,149,234,23,25,2234,5925,
"Dee Why - North Curl Curl",2056,3257,1870,1651,1810,1423,620,1120,147,100,6533,20592,
"Forestville - Killarney Heights",1145,1911,529,500,786,546,135,258,44,28,3959,9845,
"Frenchs Forest - Belrose",2368,3446,1223,1053,1838,1173,318,557,103,70,7553,19704,
"Freshwater - Brookvale",2182,3566,1362,1113,1519,955,318,574,122,58,5104,16879,
"Manly Vale - Allambie Heights",1535,2471,912,828,1149,780,216,461,68,49,4511,12992,
"Narrabeen - Collaroy",2166,3253,1757,1267,1870,1164,394,657,119,66,7661,20370,
"Terrey Hills - Duffys Forest",354,436,262,155,267,149,47,108,16,3,1129,2933,
"Camden - Ellis Lane",856,1317,946,648,973,526,428,452,75,35,4116,10372,
"Elderslie - Harrington Park",1459,2026,1566,1067,1714,1178,783,790,130,65,5048,15835,
"Mount Annan - Currans Hill",1727,2511,2287,1729,2644,1573,1326,1244,171,99,5998,21309,
"Bradbury - Wedderburn",611,1001,1161,954,1163,752,971,901,99,62,6826,14507,
"Campbelltown - Woodbine",698,1388,1003,864,1177,807,892,879,109,58,6864,14733,
"Claymore - Eagle Vale - Raby",792,1185,1381,1055,1590,979,1133,1149,119,91,6377,15861,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,0,0,0,
"Ingleburn - Denham Court",872,1622,1172,940,1581,823,965,919,98,59,6818,15869,
"Leumeah - Minto Heights",635,1107,1181,829,1291,734,872,804,77,51,5680,13252,
"Macquarie Fields - Glenfield",661,1750,1209,1092,1548,802,1147,1152,99,91,8757,18301,
"Minto - St Andrews",685,1244,1253,1061,1353,872,1224,1032,113,59,6588,15484,
"Rosemeadow - Glen Alpine",918,1332,1278,1009,1490,988,1012,969,112,89,7172,16370,
"Bargo",323,324,535,269,364,257,281,316,31,21,1813,4530,
"Douglas Park - Appin",673,832,905,490,794,419,410,351,59,24,2429,7388,
"Picton - Tahmoor - Buxton",911,1182,1398,860,1061,719,783,853,66,57,5327,13216,
"The Oaks - Oakdale",596,679,930,441,687,312,425,403,59,50,2457,7037,
"Blackheath - Megalong Valley",297,646,324,268,257,176,103,208,18,6,2368,4677,
"Blaxland - Warrimoo - Lapstone",1321,2927,1135,986,1412,682,361,568,97,41,5575,15108,
"Blue Mountains - North",0,0,0,0,0,0,0,0,0,0,4,10,
"Katoomba - Leura",662,1544,675,807,612,433,217,526,45,33,5784,11338,
"Lawson - Hazelbrook - Linden",579,1457,731,715,695,392,271,449,45,22,3660,9009,
"Springwood - Winmalee",1248,2971,1451,1233,1519,812,440,722,98,50,6882,17431,
"Wentworth Falls",351,721,273,315,307,191,100,210,26,16,2566,5074,
"Blue Mountains - South",0,0,0,0,0,0,0,0,0,0,3,5,
"Cambridge Park",640,893,1249,881,1416,783,929,820,83,55,4612,12364,
"Castlereagh - Cranebrook",1331,1932,1877,1193,2153,1208,1167,1087,147,93,5930,18126,
"Emu Plains - Leonay",799,1413,1004,764,1264,649,452,518,76,45,4407,11401,
"Glenmore Park - Regentville",1386,2029,1580,1254,2226,1177,943,840,116,73,4522,16144,
"Jamisontown - South Penrith",807,1256,1253,870,1490,795,773,740,100,65,5554,13709,
"Kingswood - Werrington",792,1450,1174,994,1515,830,1029,992,115,70,6327,15293,
"Mulgoa - Luddenham - Orchard Hills",782,811,793,434,873,424,406,356,56,39,2487,7461,
"Penrith",545,979,798,662,935,540,598,600,63,37,5346,11110,
"Warragamba - Silverdale",347,314,482,251,461,217,298,285,35,24,1348,4054,
"Richmond - Clarendon",673,1033,1101,765,845,591,550,673,64,29,5094,11428,
"Windsor - Bligh Park",756,975,1362,839,1199,733,780,835,90,58,4490,12117,
