Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"AGE5P - Age in Five Year Groups","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"Punchbowl",1524,1696,1695,1670,1393,1269,1246,1192,1148,950,710,543,467,296,205,83,9,3,16083,
"Roselands",872,870,922,928,930,954,968,905,753,666,591,461,377,308,201,82,14,0,10813,
"Lakemba",836,1241,1756,1777,1595,1037,872,793,729,548,410,356,268,227,187,73,23,0,12733,
"Wiley Park",514,833,1064,1144,922,659,499,496,421,372,287,222,140,95,51,13,3,0,7740,
"Hurstville",1417,2411,3135,2311,1570,1275,1324,1393,1280,1145,823,630,547,417,285,133,45,0,20134,
"Mortdale - Penshurst",1308,1620,1942,2119,1842,1643,1578,1630,1497,1279,994,738,569,428,370,183,53,0,19780,
"Narwee - Beverly Hills",812,957,978,1043,879,934,874,942,866,798,675,449,432,388,263,128,29,0,11438,
"Oatley - Hurstville Grove",864,847,742,711,762,904,897,886,942,751,647,516,353,263,203,85,30,0,10390,
"Peakhurst - Lugarno",1170,1049,860,929,1001,1205,1214,1209,1169,960,1031,838,710,591,444,230,58,6,14672,
"Riverwood",653,778,952,893,696,648,692,787,771,714,534,458,390,311,157,71,12,0,9508,
"South Hurstville - Blakehurst",1583,2047,2240,1672,1459,1472,1604,1674,1448,1202,1122,825,629,503,364,216,42,6,20101,
"Arncliffe - Bardwell Valley",993,2321,3589,2868,1742,1256,1016,956,861,801,641,458,374,277,183,101,25,0,18469,
"Bexley",1512,1872,2199,2327,1998,1759,1607,1618,1514,1304,1155,804,724,603,436,253,57,9,21750,
"Kingsgrove (South) - Bardwell Park",782,767,775,806,802,952,874,880,733,657,630,535,439,379,216,101,21,0,10348,
"Kogarah",523,873,1337,1368,975,774,626,623,528,448,373,294,237,238,168,61,9,0,9456,
"Kogarah Bay - Carlton - Allawah",916,1130,1451,1470,1105,1069,1079,1033,982,836,711,521,387,302,175,82,24,0,13262,
"Monterey - Brighton-le-Sands - Kyeemagh",652,750,922,1093,1094,1051,1062,979,750,770,735,613,519,400,227,94,17,0,11728,
"Rockdale - Banksia",886,1760,2704,2502,1643,1213,1064,1011,935,805,731,565,427,402,313,181,49,0,17184,
"Sans Souci - Ramsgate",784,687,848,971,1044,1191,1234,1078,1074,940,970,774,674,471,355,165,37,0,13316,
"Concord - Mortlake - Cabarita",1153,1192,1300,1444,1454,1582,1607,1540,1488,1274,1216,935,749,502,355,174,37,4,18005,
"Concord West - North Strathfield",1096,2879,3848,3434,2102,1516,1197,1171,1066,891,677,465,325,252,146,87,10,0,21179,
"Drummoyne - Rodd Point",779,832,1142,1493,1441,1504,1334,1244,1121,964,973,721,515,473,370,168,56,0,15149,
"Five Dock - Abbotsford",863,891,1151,1642,1735,1699,1572,1397,1264,1102,1052,790,669,514,390,157,40,3,16930,
"Balmain",522,664,975,1214,1366,1437,1288,1239,1017,982,901,652,325,199,110,50,11,0,12952,
"Leichhardt - Annandale",884,1644,2039,2425,2594,2511,2075,1667,1357,1262,1064,700,472,369,232,116,27,3,21438,
"Lilyfield - Rozelle",449,607,897,1310,1484,1370,1217,968,822,733,588,401,233,154,111,51,20,0,11413,
"Ashfield",1063,2246,3258,2776,1908,1548,1398,1438,1277,1116,883,695,606,533,405,224,84,9,21461,
"Burwood - Croydon",1444,3238,3336,2103,1540,1368,1365,1504,1390,1092,900,640,598,545,352,179,47,3,21641,
"Canterbury (North) - Ashbury",537,693,812,798,784,809,764,810,620,549,491,353,308,227,102,40,3,0,8698,
"Croydon Park - Enfield",1014,1116,1231,1234,1172,1267,1240,1230,1003,896,818,642,540,416,315,111,31,0,14260,
"Dulwich Hill - Lewisham",730,1182,1585,1655,1465,1426,1291,1157,968,726,621,474,415,276,173,78,20,0,14255,
"Haberfield - Summer Hill",620,800,1052,1041,1023,1076,1035,1020,801,682,576,395,322,340,243,130,36,3,11186,
"Homebush",783,1624,2677,2508,1428,943,790,772,664,566,313,221,193,130,70,34,4,0,13728,
"Strathfield",1552,2944,3469,2473,1611,1231,1371,1466,1335,1061,886,710,594,509,394,219,53,3,21870,
"Strathfield South",238,279,264,271,248,265,229,248,239,173,155,121,74,68,31,14,0,0,2909,
"Chatswood (East) - Artarmon",1453,2179,2696,3062,2686,2223,1829,1506,1347,1175,1100,737,575,487,360,218,45,0,23670,
"Chatswood (West) - Lane Cove North",947,1312,1991,2340,1967,1598,1363,1154,1075,951,793,566,439,335,262,154,33,3,17267,
"Lane Cove - Greenwich",1652,1405,1709,1912,2080,2040,1904,1826,1590,1339,1241,978,684,525,386,221,61,5,21559,
"St Leonards - Naremburn",284,553,1195,1546,1313,900,653,544,491,444,389,220,155,107,62,35,0,0,8898,
"Willoughby - Castle Cove - Northbridge",1599,1174,839,1141,1676,2152,2150,1934,1571,1338,1261,894,678,555,409,222,44,10,19651,
"Asquith - Mount Colah",1219,1080,832,918,1228,1532,1391,1375,1337,1056,865,635,434,227,181,73,15,0,14393,
"Berowra - Brooklyn - Cowan",837,588,424,540,756,1011,968,928,807,658,630,467,252,164,81,32,8,0,9140,
"Normanhurst - Thornleigh - Westleigh",1461,987,643,887,1232,1491,1509,1306,1148,979,903,764,607,376,236,113,32,0,14678,
"Hornsby - East",461,714,1161,1482,1252,1011,782,627,571,476,387,228,215,152,111,40,22,0,9689,
"Hornsby - West",601,540,562,744,868,883,805,702,668,582,532,386,279,203,129,91,20,0,8595,
"Waitara - Wahroonga (West)",385,401,623,994,1031,810,597,456,404,435,372,269,281,249,220,116,22,0,7656,
"Gordon - Killara",1823,1361,1015,1063,1233,1433,1694,1658,1389,1133,989,776,615,460,409,248,67,7,17373,
"Lindfield - Roseville",1698,1350,982,1175,1449,1665,1869,1709,1424,1197,1104,873,649,495,352,198,49,0,18229,
"Pymble",1335,930,562,709,959,1211,1410,1340,1033,815,792,582,389,300,225,101,25,0,12722,
"St Ives",1399,1007,670,884,1278,1532,1583,1509,1251,1069,991,975,807,619,408,166,23,5,16175,
"Turramurra",1344,940,576,686,1023,1347,1521,1385,1149,964,963,908,815,728,672,375,118,0,15516,
"Wahroonga (East) - Warrawee",1722,1079,670,692,889,1131,1444,1426,1217,927,870,735,559,468,336,197,52,0,14410,
"Cremorne - Cammeray",582,791,1541,2024,1781,1599,1344,1163,1101,1085,1125,799,509,293,177,91,16,0,16027,
"Crows Nest - Waverton",440,941,2087,2607,1973,1480,1213,973,938,815,795,577,362,247,169,51,16,0,15677,
"Mosman",1573,1280,1518,1892,1928,2160,2185,2082,1857,1533,1605,1396,903,640,516,288,96,8,23463,
"Neutral Bay - Kirribilli",419,932,2183,2288,1869,1349,1103,948,970,931,880,708,516,330,268,185,54,6,15931,
"North Sydney - Lavender Bay",368,618,1311,1447,1041,786,699,628,643,581,572,423,267,135,72,32,5,0,9640,
"Balgowlah - Clontarf - Seaforth",1235,946,742,911,1328,1846,1744,1586,1258,983,868,718,484,339,265,123,13,3,15392,
"Manly - Fairlight",774,1025,2210,2652,2167,1688,1403,1300,1216,985,965,836,521,387,302,139,49,0,18618,
"Avalon - Palm Beach",794,607,394,398,559,778,907,1041,1018,950,894,700,431,300,212,97,30,0,10104,
"Bayview - Elanora Heights",611,500,335,366,496,720,783,830,774,743,746,636,519,320,238,126,43,0,8793,
"Newport - Bilgola",800,681,580,506,684,966,1029,1106,1081,921,792,650,390,214,137,59,13,0,10599,
"Warriewood - Mona Vale",1383,1218,1001,1262,1662,1928,1729,1669,1486,1387,1328,1060,784,599,402,235,52,12,19194,
"Beacon Hill - Narraweena",929,760,566,694,846,1126,1109,1029,908,708,635,569,459,369,225,112,34,0,11093,
"Cromer",494,374,260,328,478,591,633,500,433,378,408,342,291,172,164,71,11,5,5925,
"Dee Why - North Curl Curl",1131,1455,2159,2627,2333,2046,1855,1654,1376,1144,880,667,516,378,253,95,23,0,20592,
"Forestville - Killarney Heights",946,553,350,425,730,1142,1059,946,705,572,524,545,542,402,273,105,32,0,9845,
"Frenchs Forest - Belrose",1766,1253,766,892,1389,2130,2098,1834,1345,1235,1293,1318,970,678,432,220,62,3,19704,
"Freshwater - Brookvale",982,1056,1688,2160,1951,1814,1643,1336,1105,920,755,509,348,257,225,114,25,5,16879,
"Manly Vale - Allambie Heights",949,746,804,983,1314,1471,1407,1105,931,721,721,534,449,340,301,162,47,5,12992,
"Narrabeen - Collaroy",1347,1212,1511,1741,1780,1809,1810,1610,1453,1238,1178,980,791,636,652,479,143,10,20370,
"Terrey Hills - Duffys Forest",278,180,124,137,176,267,324,304,256,198,203,185,122,70,61,34,13,0,2933,
"Camden - Ellis Lane",733,717,696,720,822,861,869,727,809,720,743,562,407,365,332,215,59,0,10372,
"Elderslie - Harrington Park",1590,1271,1264,1406,1521,1840,1553,1316,1122,929,756,526,367,219,105,46,8,0,15835,
"Mount Annan - Currans Hill",2151,1843,2034,2411,2229,2409,2032,1771,1369,1095,895,504,296,169,76,33,6,0,21309,
"Bradbury - Wedderburn",1358,1422,1315,1353,1304,1255,1109,1135,990,965,924,678,352,203,103,36,3,0,14507,
"Campbelltown - Woodbine",1101,1449,1497,1527,1218,1172,1009,1042,974,939,917,633,526,395,229,94,18,0,14733,
"Claymore - Eagle Vale - Raby",1667,1550,1496,1531,1302,1256,1264,1362,1508,1119,819,451,253,170,75,27,7,0,15861,
