Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"Main Statistical Area Structure (Main ASGS) (UR) by SA2 (POW) by MTW15P Method of Travel to Work (15 travel modes)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

" UR - Sydney (SA2)"
"MTW15P Method of Travel to Work (15 travel modes)","Train","Bus","Ferry","Tram","Taxi","Car, as driver","Car, as passenger","Truck","Motorbike/scooter","Bicycle","Walked only","Other Mode","Worked at home","Did not go to work","Not stated","Not applicable","Total",
"Ashfield",1535,241,0,3,12,3852,286,21,40,36,527,37,276,648,65,0,7580,
"Burwood - Croydon",3228,569,0,5,17,6187,473,37,44,51,724,35,385,1126,125,0,13011,
"Canterbury (North) - Ashbury",138,34,0,0,3,902,58,21,10,11,80,14,157,128,12,0,1568,
"Croydon Park - Enfield",171,94,0,0,6,1553,147,42,8,15,133,17,243,248,36,0,2723,
"Dulwich Hill - Lewisham",278,67,0,11,5,1403,97,12,23,24,162,19,280,171,26,0,2586,
"Haberfield - Summer Hill",385,82,4,14,11,1748,120,21,17,27,222,21,297,291,25,0,3277,
"Homebush",1176,144,0,0,18,7183,468,141,59,42,245,32,157,627,92,0,10390,
"Strathfield",1398,157,0,0,10,4183,265,42,24,22,391,38,402,585,67,0,7580,
"Strathfield South",147,46,0,0,3,1973,97,77,8,3,25,15,57,97,21,0,2575,
"Chatswood (East) - Artarmon",7939,1583,4,9,48,10409,811,47,180,132,1844,76,746,2166,224,0,26212,
"Chatswood (West) - Lane Cove North",357,112,0,3,4,1449,70,10,17,20,151,16,433,218,24,0,2879,
"Lane Cove - Greenwich",1044,642,12,8,22,7379,369,35,90,71,466,59,821,817,96,0,11930,
"St Leonards - Naremburn",7565,1600,13,10,81,13166,658,52,299,187,1201,78,605,1987,207,0,27714,
"Willoughby - Castle Cove - Northbridge",450,317,0,5,12,4004,193,41,51,31,323,24,823,576,61,0,6898,
"Asquith - Mount Colah",181,16,0,0,6,2217,154,36,11,9,105,26,422,276,34,0,3502,
"Berowra - Brooklyn - Cowan",52,11,10,0,0,614,64,12,5,5,97,11,278,158,11,0,1329,
