Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by SEXP Sex"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"SEXP Sex","Female","Male","Total",
"Ermington - Rydalmere",8711,8476,17187,
"Oatlands - Dundas Valley",7497,6923,14426,
"Chester Hill - Sefton",7240,7263,14505,
"Fairfield - East",6127,6142,12269,
"Granville - Clyde",7916,8745,16663,
"Greystanes - Pemulwuy",10572,10024,20594,
"Guildford - South Granville",7835,7987,15821,
"Guildford West - Merrylands West",8248,7963,16203,
"Merrylands - Holroyd",11101,11337,22441,
"Smithfield Industrial",0,10,10,
"Yennora Industrial",3,5,14,
"North Parramatta",9292,9227,18517,
"North Rocks",3236,3016,6254,
"Northmead",8285,7795,16077,
"Parramatta - Rosehill",11424,12782,24207,
"Toongabbie - Constitution Hill",9121,8640,17761,
"Winston Hills",4323,4076,8398,
"Pendle Hill - Girraween",4924,5051,9977,
"Wentworthville - Westmead",6038,6299,12335,
"Epping - North Epping",11400,10957,22357,
"Pennant Hills - Cheltenham",8632,7928,16560,
"Eastwood - Denistone",10855,10070,20929,
"Gladesville - Huntleys Point",6196,5632,11836,
"Hunters Hill - Woolwich",4251,4079,8331,
"Macquarie Park - Marsfield",9968,8981,18951,
"North Ryde - East Ryde",5170,4898,10062,
"West Ryde - Meadowbank",8397,7869,16263,
"Putney",1732,1601,3330,
"Ryde",11708,10887,22595,
"Ashcroft - Busby - Miller",6827,6314,13143,
"Austral - Greendale",3536,3723,7261,
"Cobbitty - Leppington",6861,6779,13644,
"Badgerys Creek",20,27,50,
"Cecil Hills",2824,2751,5575,
"Green Valley",5108,4773,9879,
"Hinchinbrook",4855,4648,9502,
"Hoxton Park - Carnes Hill - Horningsea Park",4446,4150,8601,
"West Hoxton - Middleton Grange",5644,5505,11148,
"Bonnyrigg Heights - Bonnyrigg",6675,6203,12883,
"Bossley Park - Abbotsbury",7910,7586,15494,
"Cabramatta - Lansvale",10408,9867,20281,
"Cabramatta West - Mount Pritchard",7017,6617,13629,
"Canley Vale - Canley Heights",8718,8100,16821,
"Edensor Park",4120,3884,8009,
"Fairfield",7284,7036,14318,
"Fairfield - West",7864,7345,15207,
"Greenfield Park - Prairiewood",3431,3330,6756,
"Horsley Park - Kemps Creek",1790,1875,3663,
"Smithfield - Wetherill Park",7404,7168,14573,
"St Johns Park - Wakeley",4715,4301,9020,
"Wetherill Park Industrial",10,25,36,
"Casula",6353,5944,12295,
"Chipping Norton - Moorebank",7449,7154,14599,
"Holsworthy - Wattle Grove",7972,8046,16015,
"Liverpool",10907,10540,21448,
"Lurnea - Cartwright",4563,4378,8938,
"Prestons - Edmondson Park",6725,6320,13050,
"Warwick Farm",2320,2423,4741,
"Gymea - Grays Point",7266,6725,13991,
"Miranda - Yowie Bay",7872,7040,14911,
"Sylvania - Taren Point",6989,6163,13158,
"Caringbah",5043,4533,9575,
"Caringbah South",4980,4634,9614,
"Cronulla - Kurnell - Bundeena",10228,9831,20061,
"Lilli Pilli - Port Hacking - Dolans Bay",1260,1257,2521,
"Woolaware - Burraneer",3179,3024,6195,
"Heathcote - Waterfall",2724,2515,5234,
"Illawong - Alfords Point",4331,4314,8645,
"Menai - Lucas Heights - Woronora",8730,8301,17035,
"Oyster Bay - Como - Jannali",8517,8042,16561,
"Royal National Park",14,3,25,
"Sutherland - Kirrawee",9057,8091,17140,
"Engadine",6679,6318,12993,
"Loftus - Yarrawarrah",2954,2752,5698,
"Woronora Heights",1494,1477,2965,
"Total",1869673,1786716,3656387,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
