Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by INDP - 1 Digit Level"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"Paddington - Moore Park",23,15,188,31,336,218,559,507,232,513,1081,277,1879,328,413,639,870,322,228,282,56,4196,13194,
"Rose Bay - Vaucluse - Watsons Bay",15,11,146,13,221,210,433,291,93,192,583,311,871,208,248,414,607,113,132,229,48,4058,9440,
"Woollahra",10,15,87,12,134,100,279,220,86,202,495,151,864,115,112,295,406,95,96,158,35,2589,6547,
"Coogee - Clovelly",30,26,368,66,977,337,852,811,504,673,1120,372,2058,575,828,1459,1677,441,378,479,108,7102,21250,
"Malabar - La Perouse - Chifley",24,18,402,80,901,309,874,559,748,224,542,227,779,320,819,1082,1223,249,407,302,136,9820,20044,
"Kensington (NSW)",7,11,154,33,328,150,570,743,229,186,420,132,805,255,265,887,748,223,160,152,62,6892,13421,
"Kingsford",11,8,171,33,397,155,536,574,260,206,398,150,706,264,264,812,807,135,207,213,74,7463,13835,
"Maroubra - North",6,9,122,25,391,152,362,272,222,143,348,108,592,175,277,517,635,105,159,138,45,3418,8211,
"Maroubra - South",5,3,160,32,404,132,340,340,288,161,304,107,544,181,323,530,599,117,157,168,80,3963,8926,
"Maroubra - West",3,13,152,24,330,125,438,362,254,131,369,99,514,159,272,428,573,98,150,143,48,3896,8581,
"Randwick - North",15,9,230,49,728,220,592,570,329,420,816,232,1334,336,529,1041,1303,259,283,243,76,4587,14199,
"Randwick - South",18,5,169,38,495,148,444,394,238,275,540,137,874,240,436,802,1064,180,196,191,67,4273,11228,
"Bass Hill - Georges Hall",16,5,596,56,883,290,837,430,586,136,314,97,398,219,359,593,851,109,352,381,176,9238,16921,
